date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:51	188064/188064	---M--	200	added ('OK')	image/jpeg	etag:%222dea0-623282c279127%22	https://techzaa.in/techmin/layouts/assets/images/users/avatar-5.jpg	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/assets/images/users/avatar-5.jpg	(from https://techzaa.in/techmin/layouts/index.html)
12:32:51	79409/79409	---M-Z	200	added ('OK')	text/html	etag:%2213631-623282c2c732e-gzip%22	https://techzaa.in/techmin/layouts/pages-faq.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/pages-faq.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:52	277164/277164	---M--	200	added ('OK')	image/jpeg	etag:%2243aac-623282c279127%22	https://techzaa.in/techmin/layouts/assets/images/users/avatar-4.jpg	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/assets/images/users/avatar-4.jpg	(from https://techzaa.in/techmin/layouts/index.html)
12:32:52	5739/5739	---M-Z	200	added ('OK')	text/html	etag:%22166b-623282c2c444e-gzip%22	https://techzaa.in/techmin/layouts/auth-lock-screen.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/auth-lock-screen.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:52	4059/4059	---M-Z	200	added ('OK')	text/html	etag:%22fdb-623282c2c444e-gzip%22	https://techzaa.in/techmin/layouts/auth-logout.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/auth-logout.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:52	69250/69250	---M-Z	200	added ('OK')	text/html	etag:%2210e82-623282c253f64-gzip%22	https://techzaa.in/techmin/layouts/apps-calendar.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/apps-calendar.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:53	116956/116956	---M-Z	200	added ('OK')	text/html	etag:%221c8dc-623282c253f64-gzip%22	https://techzaa.in/techmin/layouts/apps-kanban-board.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/apps-kanban-board.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:53	104275/104275	---M-Z	200	added ('OK')	text/html	etag:%2219753-623282c253f64-gzip%22	https://techzaa.in/techmin/layouts/apps-invoice-report.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/apps-invoice-report.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:53	71153/71153	---M-Z	200	added ('OK')	text/html	etag:%22115f1-623282c253f64-gzip%22	https://techzaa.in/techmin/layouts/apps-invoice.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/apps-invoice.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:53	60773/60773	---M-Z	200	added ('OK')	text/html	etag:%22ed65-623282c2c732e-gzip%22	https://techzaa.in/techmin/layouts/pages-starter.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/pages-starter.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:54	77063/77063	---M-Z	200	added ('OK')	text/html	etag:%2212d07-623282c2c732e-gzip%22	https://techzaa.in/techmin/layouts/pages-contact-list.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/pages-contact-list.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:54	84045/84045	---M-Z	200	added ('OK')	text/html	etag:%221484d-623282c2c732e-gzip%22	https://techzaa.in/techmin/layouts/pages-timeline.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/pages-timeline.html	(from https://techzaa.in/techmin/layouts/index.html)
